id,orpha,gard,omim,mondo,mesh,umls,icd10,do,description,prevalence,inheritance,age_onset,created_at,updated_at,meddra,orpha_name,gard_name,synonym,disease_gene_relationships_count,disease_phenotype_relationships_count,alias,not_rare_orpha,not_rare_gard
322,ORPHA:98842,6944,,,D017731,C0206182,C86.6,,"Lymphomatoid papulosis (LyP) is a rare cutaneous condition characterized by chronic, recurrent, and self-regressing papulonodular skin eruptions. It belongs to the spectrum of primary cutaneous CD30+ lymphoproliferative disorders, along with primary cutaneous anaplastic large cell lymphoma (primary C-ALCL; see this term) with which it shares overlapping clinical and histopathologic features.Exact prevalence is unknown.LyP lesions develop at any age, more frequently during adulthood (mean age 45 years), as erythematous papules and nodules of less than 1.5-2 cm, grouped in clusters or disseminated throughout the body. Lesions may become necrotic in the center, show pigmentation and leave scarring. They spontaneously regress within 4 to 8 weeks but new lesions can occur at any time. Patients with LyP are at an increased risk of developing cutaneous or nodal lymphoid malignancies such as classic mycosis fungoides, ALCL, and Hodgkin lymphoma (see these terms).Etiology is unknown. In some reports, a correlation has been found between the use of immunosuppressive medication (e.g. anti-tumor necrosis factor (TNF) agents) for the treatment of chronic inflammatory diseases and the occurrence of LyP.Diagnosis is based on physical examination and medical history, and is confirmed by histopathologic and immunohistochemical evaluation of skin biopsies. Five histologic sub-types have been defined: type A (wedge-shaped mixed infiltrate with CD30+ tumor cells and inflammatory cells), type B (epidermotropic CD30+ T-cell infiltrate resembling MF), type C (sheets of CD30+ large atypical lymphoid cells), type D (CD30+ and CD8+ lymphocytes with cytotoxic TIA-1 staining resembling Berti's lymphoma), and type E (angiocentric and angiodestructive CD30+ T-cell infiltrate). In case of extracutaneous disease, no imagery techniques are recommended for LyP except pulmonary radiography.Differential diagnosis includes classical mycosis fungoides, primaryC-ALCL, diffuse large B cell lymphoma, Hodgkin lymphoma (see these terms), metastatic melanoma, and squamous cell carcinoma of the skin.Treatment includes use of topical steroids in the initial stages of the disease which, in cases with an increase in the number of lesions, is combined with or followed by phototherapy (psoralen-UVA light therapy [PUVA]) or oral low-dose methotrexate (MTX). Treatment does not guarantee total regression of lesions and relapses are common with the use of lower doses or the discontinuation of treatment. Interferon alfa-2a can be used as an alternative to MTX treatment.Prognosis is good, with a normal life expectancy, even if the disease is chronic with recurring lesions and an increased risk of developing second lymphoid neoplasms (4-25% of patients). Complications due to long-term treatment may also appear and include a higher incidence of non-melanoma skin cancer (due to PUVA) or hepatic fibrosis (due to MTX).",Unknown,,All ages,2020-12-22 18:01:46,2021-02-25 17:42:46,10056670,Lymphomatoid papulosis,Lymphomatoid papulosis,LyP,34,0,,,NULL
323,ORPHA:163634,6958,614569,,,C0024454,Q78.4,,"A rare nonhereditary mesodermal dysplasia characterized by multiple enchondromatosis associated with soft tissue hemangiomas.About 250 cases have been reported in the literature so far. Maffucci syndrome affects both males and females, with no ethnic or geographic predilection.Onset usually occurs by 1-5 years of age. In 25% of cases, the clinical symptoms are present at birth or manifest in the first year of life. The multiple enchondromas in Maffucci syndrome are initially benign enlargements of cartilage that are most often found in the phalanges and long bones but can appear anywhere. They can manifest as a painless swelling of the digits or as a pathologic fracture and can lead to significant deformity. Capillary malformations usually manifest as irregularly-shaped, protruded, dark-blue subcutaneous nodules on the distal extremities, but may also appear at any site. Venous and lymphatic malformations may occur. The skeletal and vascular lesions are usually asymmetrical and may be progressive. Approximately 30-40% of enchondromas develop into chondrosarcomas. The syndrome may be associated with other benign or malignant tumors (goiter, parathyroid adenoma, pituitary adenoma, adrenal tumor, ovarian tumor, breast cancer, or astrocytoma).Diagnosis is based on clinical and radiographic findings.Differential diagnosis includes Ollier disease (multiple enchondromatosis not associated with hemangiomas).No familial pattern of inheritance has been identified so far.Management aims at relief of symptoms and early detection of malignancies. Treatment is not indicated in asymptomatic patients. Regular examinations by an orthopedic surgeon and dermatologist to evaluate changes in the skin and bone lesions are mandatory.Patients with Maffucci syndrome usually have a normal life span.",Unknown,Not applicable ,Childhood,2020-12-22 18:01:46,2021-02-25 17:42:50,,Maffucci syndrome,Maffucci syndrome,,8,23,,,NULL
324,ORPHA:679,6249,602248,,D054853,C0221011,I77.8,,"Malignant atrophic papulosis (MAP) is a rare, chronic, thrombo-obliterative vasculopathy characterized by papular skin lesions with central porcelain-white atrophy and a surrounding teleangiectatic rim. Systemic lesions may affect the gastrointestinal tract and the central nervous system (CNS) and are potentially lethal.Less than 200 cases have been described in the literature.MAP onset occurs in adults aged 20-50 with skin lesions that appear initially as small erythematous papules, predominantly on the trunk and the upper extremities. Over several days, the center of the lesions sinks and develops a characteristic morphology: 0.5-1 cm wide papules with an atrophic porcelain-white center and an erythematous, teleangiectatic rim. This condition is chronic and lesions persist over years, often throughout life. Face, scalp, palms of hands and soles of feet are rarely involved. In the systemic variant, which may develop simultaneously or even years after cutaneous symptoms, patients may present with multiple limited infarcts of the intestine, with abdominal pain, bleeding and diarrhea, and/or of the CNS, with cerebrovascular accidents (in rare cases, medullary). It may more rarely manifest as pericarditis or in other organs such as the lungs, presenting as pleuritis. Ocular involvement, which affects the eyelids, conjuctiva, retina, sclera and the choroid plexus, as well as the development of diplopia and ophthalmoplegia (as secondary side effects of the neurologic involvement), has also been described.The etiopathogenesis of the disease remains unknown. Hypotheses implicating vasculitis, coagulopathy or a primary dysfunction of endothelial cells have been proposed. Many patients have been reported to have defects in blood coagulation.Diagnosis is based primarily on the cutaneous clinical picture that is nearly pathognomonic. In early stages, histology of lesions may reveal a superficial and deep perivascular lymphocytic infiltration with distinct mucin deposition. Later a wedge-shaped connective tissue necrosis in the deep dermis, due to a thrombotic occlusion of the small arteries and sparse lymphocytes, occurs. More developed lesions show prominent changes in the dermoepidermal junction, with atrophy of the epidermis and an area of sclerosis in the papillary dermis.The histology of early lesions resembles cutaneous lupus erythematosus (see this term). More developed lesions can imitate lichen sclerosus (see this term).A genetic predisposition with an autosomal dominant trait has been suggested.Therapeutic efforts with anticoagulants and compounds that facilitate blood perfusion, such as acetylosalicylic acid, pentoxifylline, dipyridamole, ticlodipine and heparin have achieved a partial regression of skin lesions in some individual cases. As all patients may potentially develop the systemic, life-threatening variant, an annual follow-up is mandatory. A clinical inspection of the skin should be combined with additional examinations including brain magnetic resonance tomography, gastroscopy, colonoscopy, X-ray of the chest and abdominal ultrasound, in order to assess the long-term prognosis. No effective treatment for the systemic manifestations has been established, however, subcutaneous treprostinil has been tested successfully in one case with intestinal and CNS manifestations.Idiopathic, monosymptomatic, cutaneous presentations are benign, however, systemic manifestations can develop years after the occurrence of skin lesions. Systemic manifestations are progressive and may lead to serious complications: bowel perforation and peritonitis as well as thrombosis of the cerebral arteries or massive cerebral hemorrhage, meningitis, encephalitis, radiculopathy and myelitis which have been reported to be lethal in around 50% of patients within 2-3 years.",<1 / 1 000 000,Autosomal dominant ,Adult,2020-12-22 18:01:46,2021-02-25 17:42:53,10064281,Malignant atrophic papulosis,Malignant Atrophic Papulosis,Degos disease; Köhlmeier-Degos disease; Köhlmeier-Degos-Delort-Tricort syndrome; Papulosis atrophican maligna,2,37,,,NULL
325,ORPHA:90153,3374,248370,,C535705,,Q87.5,,,,Autosomal recessive ,-,2020-12-22 18:01:46,2021-04-21 15:46:38,,Mandibuloacral dysplasia with type A lipodystrophy,Mandibuloacral dysplasia with type A lipodystrophy,,1,42,,,NULL
326,ORPHA:90154,9989,608612,,C535706,C1837756,Q87.5,,,,Autosomal recessive ,-,2020-12-22 18:01:46,2021-04-21 15:46:41,,Mandibuloacral dysplasia with type B lipodystrophy,Mandibuloacral dysplasia with type B lipodystrophy,,1,49,,,NULL
327,ORPHA:444,3390,146550,,C535912,C2931059,Q84.0,,"A rare autosomal dominant hair loss disorder characterized by the absence or scarcity of scalp hair, eyebrows, and eyelashes at birth; coarse and wiry hair during childhood; and progressive hair loss beginning around puberty.Prevalence and incidence are unknown. To date, approximately 30 families and sporadic cases with a molecular diagnosis have been reported in the literature.Affected individuals of both sexes are typically born with an absence or scarcity of scalp hair, eyelashes, and eyebrows. During early childhood the scalp hair becomes coarse and wiry. Loss of scalp hair begins around puberty in a pattern resembling that of androgenetic alopecia and progresses to almost total alopecia. Body, axillary, and pubic hair is sparse or absent as is beard hair in men and adolescent boys. No other ectodermal abnormalities are observed.The disorder is due to mutations in U2HR, an inhibitory upstream open reading frame of the HR gene located to 8p21.2, causing a gain of function of HR. Worldwide, about 20 different U2HR mutations have been identified in more than 30 affected families and sporadic cases. Recently, a missense mutation in EPS8L3, located on chromosome 1p13.2, was identified in a Chinese family; however, there are currently no other reports of this mutation.Diagnosis depends on clinical and microscopic examination and can be confirmed by mutational analysis of U2HR. Scanning electron microscopic study of the hair reveals irregular twisting, longitudinal ridging and cuticle peeling. Scalp biopsy shows a marked reduction in the number of follicles with follicular fibrosis. However, the small number of biopsies analyzed makes it difficult to obtain an objective impression.Differential diagnoses include hypotrichosis simplex, loose anagen syndrome, uncombable hair syndrome, ectodermal dysplasia syndromes, congenital atrichia, androgenetic alopecia and alopecia areata.Transmission is autosomal dominant. Genetic counseling should be offered to affected individuals informing them that there is a 50% risk of having an affected child at each pregnancy.No curative treatment exists.Life expectancy is normal but quality of life can be reduced due to the psychological impact related to the hair phenotype.",Unknown,Autosomal dominant ,"Infancy, Neonatal",2020-12-22 18:01:47,2021-04-20 15:50:26,,Marie Unna hereditary hypotrichosis,Marie Unna congenital hypotrichosis,"Hypotrichosis, Marie Unna type; MUHH; Marie Unna congenital hypotrichosis",4,11,,,NULL
328,ORPHA:560,6984,154780,,C536025,C0265235,Q87.0,,"A malformation syndrome that is characterized by facial dysmorphism, severe hypoplasia of the nasal bones and frontal sinuses, ocular involvement, early-onset hearing loss, skeletal and anhidrotic ectodermal anomalies and short stature with spondyloepiphyseal dysplasia and early-onset osteoarthritis.",<1 / 1 000 000,Autosomal dominant or Autosomal recessive ,Neonatal,2020-12-22 18:01:47,2021-02-25 17:43:05,,Marshall syndrome,Marshall syndrome,,2,61,,,NULL
329,ORPHA:562,6995,174800,,D005359,C0242292,Q78.1,,"McCune-Albright syndrome (MAS) is classically defined by the clinical triad of fibrous dysplasia of bone (FD), café-au-lait skin spots, and precocious puberty (PP).It is a rare disease with an estimated prevalence of between 1/100,000 and 1/1,000,000.FD can involve single or multiple skeletal sites and presents with a limp and/or pain, and, occasionally, a pathologic fracture. Scoliosis is common and may be progressive. In addition to PP (vaginal bleeding or spotting and early development of breast tissue in girls, testicular and penile enlargement and precocious sexual behavior in boys), other hyperfunctioning endocrinopathies may occur including hyperthyroidism, growth hormone excess, Cushing syndrome, and renal phosphate wasting. Café-au-lait spots usually appear in the neonatal period, but it is most often PP or FD that brings the child to medical attention. Renal involvement is seen in approximately 50% of the patients with MAS.The disease results from somatic mutations of the GNAS gene, specifically mutations in the cAMP-regulating protein, Gs alpha. The extent of the disease is determined by the proliferation, migration and survival of the cell in which the mutation spontaneously occurs during embryonic development.Diagnosis of MAS is usually established on clinical grounds. Plain radiographs are often sufficient to make the diagnosis of FD but biopsy of FD lesions can be used for confirmation. The evaluation of patients with MAS should be guided by knowledge of the spectrum of tissues that may be involved, with specific testing for each. Genetic testing is possible, but is not routinely available.Differential diagnoses include neurofibromatosis, osteofibrous dysplasia, non-ossifying fibromas, idiopathic central precocious puberty, and ovarian neoplasm (see these terms).Although MAS in not hereditary, genetic counseling should be offered.Treatment is dictated by the tissues affected, and the extent to which they are affected. Some forms of surgical interventions may be indicated for treatment of craniofacial and skeletal abnormalities associated with FD (progressive visual disturbance, severe pain, severe disfigurement), as well as in the management of MAS-associated endocrinopathies and malignancies. Bisphosphonates are frequently used in the treatment of FD. Strengthening exercises are recommended to help maintain the musculature around the FD bone and minimize the risk of fracture. Treatment of all endocrinopathies is required.MAS is rarely associated with malignancy. Malignant transformation of FD lesions occurs in probably less than 1% MAS patients.",1-9 / 1 000 000,Not applicable ,Childhood,2020-12-22 18:01:47,2021-02-25 17:43:09,,McCune-Albright syndrome,McCune-Albright syndrome,Gonadotropin-independent female-limited sexual precocity,45,56,,,NULL
330,ORPHA:60040,6950,602501,,,C1865285,Q87.3,,"A rare developmental defect during embryogenesis that is characterized by growth dysregulation with overgrowth of the brain and multiple somatic tissues, with capillary skin malformations, megalencephaly (MEG) or hemimegalencephaly (HMEG), cortical brain abnormalities (in particular polymicrogyria), typical facial dysmorphisms, abnormalities of somatic growth with asymmetry of the body and brain, developmental delay and digital anomalies.Over 200 patients have been reported without sex predominance.Symptoms are usually recognizable at birth. Their severity varies widely among patients. Megalencephaly is a major clinical feature (MEG: occipitofrontal circumference [OFC] greater than or equal to 3 SD above the mean), which sometimes progresses to hydrocephaly, malformations of cortical development with polymicrogyria and Chiari malformation. Cutaneous capillary anomalies are often scattered over the limbs, palms, soles and trunk, are frequently pink/red and are aggravated by crying and emotions. Facial dysmorphism is observed with frontal bossing, full cheeks, prominent lips and nevus flammeus of the nose and/or philtrum and upper lip. There is a delay in speech and motor skills. Patients may present neurological symptoms, mainly neonatal hypotonia, and, less frequently, seizures. Additional clinical manifestations include prenatal overgrowth, limb asymmetry, joint laxity, soft skin and thick, ''doughy'' subcutaneous tissue, postaxial polydactyly and/or syndactyly of toes 2-3 or fingers 3-4. Some patients develop neoplasias (risk of tumor development estimated at 2-3%). There is a slight increased risk for congenital heart defects and/or cardiac rhythm abnormalities. Adult OFCs range from +2 to +10 SDs above the mean.Somatic mutations of the PIK3CA gene (3q26), with evidence of postzygotic mosaicism, were found in several patients. Two individuals had a de novo germline pathogenic variant in PIK3CA. The gene PIK3CA encodes the alpha catalytic subunit of phosphatidylinositol-4,5-bisphosphate 3-kinase. PIK3CA mutations are found in several benign overgrowth syndromes, collectively known as PIK3CA-related overgrowth spectrum (PROS). The mutational spectrum in children with the disorder is broader than other PIK3CA-related overgrowth disorders.The disorder can be diagnosed based on clinical findings in individuals with classic features of MEG or HMEG (major finding 1) associated with neurologic findings of hypotonia, seizures, and mild to severe intellectual disability and characteristic capillary malformations (major finding 2) with focal or generalized somatic overgrowth.. Mosaic mutations of the PIK3CA gene were mainly identified with the advent of massively parallel or next-generation sequencing (NGS) methods. that facilitate detection of low-frequency variation. The level of mosaicism is often lowest in blood‐derived DNA, and higher in saliva and fibroblast‐derived DNA: multiple tissue samples should be tested, prioritizing samples other than blood.Differential diagnoses include Hemimegalencephaly (HMEG), Megalencephaly - polymicrogyria - post-axial polydactyly - hydrocephalus (MPPH), Klippel-Trénaunay syndrome (KTS), Beckwith-Wiedemann syndrome (BWS), PTEN-related overgrowth disorders.Findings of prenatal ultrasound include marked fetal overgrowth and progressive macrocephaly in the absence of maternal hyperglycemia or fetal hyperinsulinemia, ventriculomegaly, hydrocephalus, frontal bossing, polydactyly, limb asymmetry, polyhydramnios, hydrops fetalis and pleural effusions.The risk to sibs of a proband with somatic mosaicism for a pathogenic variant in PIK3CA would be expected to be the same as in the general population. However, low-level germline mosaicism may theoretically be present in a parent of a very rare child with a germline PIK3CA pathogenic variant.Management requires a multidisciplinary approach (involving pediatrician, neurologist, ophthalmologist, cardiologist, orthopedist, physiatrist, ENT, and dermatologist). Neurologic complications (obstructive hydrocephalus, increased intracranial pressure, cerebellar tonsillar ectopia or Chiari malformation; epilepsy in those with HMEG) may warrant neurosurgical intervention. Regular surveillance is recommended (brain MRI in the first 8 years of life, kidney ultrasound for Wilms tumor screening in the first 8 years of life). However, tumor risk in the disorder appears to be lower than in BWS.Prognosis depends on the severity of symptoms. Early death, due to complex cardiac heart disease and arrhythmia, has been reported in rare occasions.",<1 / 1 000 000,Not applicable ,"Neonatal, Antenatal",2020-12-22 18:01:47,2021-02-25 17:43:12,,Megalencephaly-capillary malformation-polymicrogyria syndrome,Megalencephaly-capillary malformation syndrome,MCAP; MCM; MCMTC; Macrocephaly-capillary malformation syndrome; Macrocephaly-cutis marmorata telangiectatica congenita syndrome; Megalencephaly-capillary malformation syndrome; Megalencephaly-cutis marmorata telangiectatica congenita syndrome,18,55,,,NULL
331,ORPHA:2483,7010,155900,,D008556,C0025235,G51.2,,"A rare orofacial granulomatosis characterized by the triad of recurrent or persistent orofacial edema (facial and lip edemas), fissured tongue, and relapsing, unilateral or bilateral peripheral facial nerve paralysis. Most cases present with partial symptoms. Typical age of onset is in childhood or adolescence. Histological examination shows non-caseating epithelioid cell granulomas and lymphedema.",Unknown,,Childhood,2020-12-22 18:01:47,2021-02-25 17:43:16,10027166,Melkersson-Rosenthal syndrome,Melkersson-Rosenthal syndrome,,2,15,,,NULL
332,ORPHA:565,1521,309400,,,C0022716,E83.0,,"A rare congenital disorder of copper metabolism with severe multisystemic manifestations that are primarily characterized by progressive neurodegeneration and marked connective tissue anomalies. A pathognomonic feature is the typical sparse, abnormal steely hair.Prevalence at birth is estimated at 1/300,000 and 1/360,000 in Europe and Japan, respectivley. In Australia, the birth prevalence is much higher (1/50,000-100,000), likely due to a founder effect. The disorder is X-linked and thus primarily affects males.Menkes disease (MD) manifests in the neonatal period. Most patients are born at term with appropriate birth measurements. Cephalohematomas and spontaneous fractures are occasionally observed at birth. In the early neonatal period, patients may present with prolonged jaundice, hypothermia, hypoglycemia and feeding difficulties. Pectus excavatum and umbilical and inguinal hernias have also been reported. Unusual sparse and dull scalp hair is often the initial observation at the age of 1-2 months. Characteristically, the hair appears hypopigmented/depigmented, resembles steel wool and is friable, especially in the areas of the scalp subjected to friction. Additional symptoms are failure to thrive, poor eating, vomiting, and diarrhea. The appearance of pale skin, frontal or occipital bossing, micrognathia and pudgy cheeks may be observed. Patients develop gradual motor dysfunction and seizures. Muscular hypotonia in early life is replaced later-on by spasticity and weakness of the extremities. The clinical course is usually severe. Variable forms exist with occipital horn syndrome (OHS) being the mildest recognized form, which further presents with prominent bony exostoses and bladder diverticula.MD is caused by pathogenic variants in ATP7A (Xq21.1) encoding a membrane bound copper-transport protein (Cu2+-transporting ATPase-alpha polypeptide). To date, about 300 different variants in this gene have been reported. There is no obvious correlation between the variants and the clinical course.Initial diagnosis is based on clinical features (typical hair changes associated with hypotonia and delayed neuromotor development) and supported by demonstration of reduced levels of serum copper and ceruloplasmin. However, in the neonatal period these markers should be interpreted with caution, as their levels are also low in healthy newborns. In this period, plasma catecholamine analysis (ratio of DOPA to dihydroxyphenylglycol), indicative of dopamine beta-hydroxylase deficiency, may be used as a diagnostic test when the clinical diagnosis suggests MD. Although not specific, other laboratory investigations are useful to complete the clinical work up, these include light microscopy (for hair), radiological imaging (for generalized osteoporosis, metaphyseal flaring and spurs in the long bones, diaphyseal periosteal reaction and thickening, and Wormian bones in the cranial sutures), and arteriography (arterial tortuosity, especially of the intracranial arteries). Definitive diagnosis is based on molecular genetic testing.Differential diagnosis includes Ehlers-Danlos syndrome, Marfan syndrome, cutis laxa syndromes, mitochondrial disorders, osteogenesis imperfecta and child abuse.Prenatal diagnosis is possible where the pathogenic variant has previously been identified in a family member and the preferred situation is to determine the carrier status of the mother prior to pregnancy and prenatal diagnosis.Transmission is X-linked recessive. Genetic counseling should be offered to couples where the mother is a carrier of a pathogenic variant, informing them that the risk for a male fetus to be affected is 50% at each pregnancy. In rare cases, a female fetus may be affected (manifesting heterozygote) and this possibility should also be considered during genetic counselling. Similarly, germ-line mosaicism has been described and, although probably infrequent, it should also be discussed when counselling non-carrier mothers of singleton cases.Treatment is mainly symptomatic. Early parenteral copper-histidine supplementation may modify disease progression and some symptoms by providing extra copper to tissue and to copper-dependent enzymes. Oral administration of copper is ineffective as it is trapped in the intestines.Prognosis is poor and patients usually die in early childhood. However, careful medical care, and possibly copper administration, may extend life span.",Unknown,X-linked recessive ,Neonatal,2020-12-22 18:01:47,2021-02-25 17:43:19,10027294,Menkes disease,Menkes disease,Kinky hair disease; Kinky hair syndrome; MD; MK; MNK; Menkes syndrome; Steely hair disease; Steely hair syndrome; Trichopoliodystrophy; X-linked copper deficiency,20,65,,,NULL
333,ORPHA:79140,9266,,,,C0007129,C44.3  C44.6  C44.7,,"Cutaneous neuroendocrine carcinoma is a primary cutaneous cancer arising from a subset of skin neuroendocrine cells (Merkel cells, giving the name Merkel cell carcinoma (MCC)).MCC is rare accounting for less than 1% of all cutaneous malignancies. The estimated annual incidence ranges from 1 to 2 per 500,000 in the white population, but figures are steadily increasing. There is no major sex predilection, although some authors report a slight male predominance.MCC generally occurs in older white adults (mean age at diagnosis 68-75 years), only 5% of cases occur before the age of 50 years. MCC usually appears as firm, painless, shiny lumps of skin (red, pink, or violet lumps of various sizes). It usually develops in sun-exposed areas (head, neck, and arms). MCC is fast-growing: it tends to spread quickly to the regional lymph nodes and then metastasizes to other organs, in particular the liver, bone, lungs, and brain. At the time of diagnosis, MCCs are generally characterized by a primary lesion, growing in the dermis and subcutaneous tissues, with or without lymph node metastases. MCC is divided into stages depending on the extent of disease.The exact cause of MCC is unknown, but it appears to be linked to sun exposure and immunosuppression.The diagnosis of MCC is based on a skin biopsy. Histologically, MCCs are poorly differentiated neuroendocrine carcinomas involving the dermis and frequently extending to the subcutaneous tissue. Immunohistochemistry reveals positivity for neuroendocrine (neuron-specific enolase, synaptophysin) and cytokeratin markers (cytokeratin 20), allowing MCC to be differentiated from other small cell tumors. Imaging methods are used to investigate the presence of metastases in other organs.Management depends on the stage of the tumor at diagnosis, tumor size and location, and the age and general health status of the patient. Treatment includes surgery (wide local excision and selective lymphadenectomy), radiation therapy and chemotherapy (only for patients with metastatic disease). Supportive care should be offered to improve the quality of life of patients.Most deaths from MCC occur within the first 3 years after diagnosis. Patients with no lymph node disease, however, may have an excellent prognosis. Women appear to have a better survival rate than men.",1-9 / 100 000,Not applicable ,"Adult, Elderly",2020-12-22 18:01:47,2021-02-25 17:43:22,,Cutaneous neuroendocrine carcinoma,Merkel cell carcinoma,MCC; Merkel cell carcinoma,226,16,,,NULL
334,ORPHA:29,3588,610377,,D054078,C0342731,E88.8,,"A rare, very severe form of mevalonate kinase deficiency (MKD) characterized by dysmorphic features, failure to thrive, psychomotor delay, ocular involvement, hypotonia, progressive ataxia, myopathy, and recurrent inflammatory episodes.The exact prevalence and incidence of mevalonic aciduria (MVA) are not known. Fewer than 50 patients have been reported to date. A small proportion of patients with MKD have MVA, while most cases correspond to the milder phenotype known as Hyperimmunoglobinemia D with periodic fever (HIDS).Onset of MVA is usually during infancy and in some severe cases antenatally. The clinical presentation is variable with cases of severe disease with significantly reduced life expectancy to milder cases with no effect on life expectancy. Infants may be born with shortened limbs and dysmorphic features (dolichocephaly, microcephaly, frontal bossing, a triangular-shaped face, down-slanting eyelids, and dysplastic or low-set ears. Affected patients may also present with marked failure to thrive, and recurrent episodes of fever (that may be fatal in infancy) possibly accompanied by hepatosplenomegaly, lymphadenopathy, abdominal pain, vomiting, diarrhea, arthralgia, myalgia, mouth ulcers, and skin eruptions. During childhood, patients may show failure to thrive, developmental delay and progressive ataxia, in later childhood or adolescence they may develop progressive ocular disorders such as uveitis, blue sclera, retinitis pigmentosa, or cataracts. Short stature and myopathy are reported in older patients.MVA is caused by mutations in the MVK gene (12q24). MVKencodes mevalonate kinase, which is involved in cholesterol and isoprenoid production. In patients with the severe form of MK deficiency, enzyme deficiency is nearly complete causing the severe manifestations of the disorder. Severity usually depends on the degree of residual enzyme activity.MKD follows an autosomal recessive pattern of inheritance. Genetic counseling should be proposed to affected families.Inflammatory attacks can often be controlled with interleukin-1 blocking agents such as canakinumab or anakinra. Severely affected patients have been seen to improve significantly upon allogeneic hematopoietic stem cell transplantation.",<1 / 1 000 000,Autosomal recessive ,"Infancy, Neonatal, Childhood",2020-12-22 18:01:47,2021-02-25 17:43:25,10072219,Mevalonic aciduria,Mevalonic aciduria,Complete mevalonate kinase deficiency; MVA,20,44,,,NULL
335,ORPHA:79490,,,,,,D18.1,,"A rare common cystic lymphatic malformation characterized by a benign cystic lesion composed of dilated lymphatic channels. Microcystic lesions consist of cysts smaller than 1 cm in diameter. They usually present at birth or during the first years of life and most often occur in the head and neck region but may affect any site. Symptoms depend on the location and extent of the lesion. Infection, trauma, or intracystic hemorrhage can lead to lesional expansion. Malignant transformation does not occur.",,Not applicable ,"Infancy, Neonatal",2020-12-22 18:01:47,2021-02-25 17:43:29,,Microcystic lymphatic malformation,Microcystic lymphatic malformation,Capillary lymphangioma; Capillary lymphatic malformation; Cutaneous lymphangioma circumscriptum; Microcystic infiltrating lymphatic malformation; Microcystic lymphangioma; Superficial lymphangioma; Superficial lymphatic malformation,0,0,,,NULL
336,ORPHA:2556,3659,300887,,,C0796070,Q11.2,,"MIDAS syndrome (Microphthalmia, Dermal Aplasia, and Sclerocornea), also called microphthalmia with linear skin defects syndrome, is characterized by ocular defects (microphthalmia, orbital cysts, corneal opacities) and linear skin dysplasia of the neck, head, and chin. It has been reported in less than 50 patients. Additional findings may include agenesis of corpus callosum, sclerocornea, chorioretinal abnormalities, hydrocephalus, seizures, intellectual deficit, and nail dystrophy. It is transmitted as an X-linked dominant trait with male lethality.",<1 / 1 000 000,X-linked dominant ,Neonatal,2020-12-22 18:01:47,2021-02-25 17:43:32,,Microphthalmia with linear skin defects syndrome,Microphthalmia with linear skin defects syndrome,MCOPS7; MIDAS syndrome; MLS syndrome; Microphthalmia-dermal aplasia-sclerocornea syndrome; Syndromic microphthalmia type 7,46,87,,,NULL
337,ORPHA:79452,7220,153100,,,C1704423,Q82.0,,"Milroy disease is a frequent form of primary lymphedema (see this term) characterized generally by painless, chronic lower-limb lymphedema found at birth or developing in the early neonatal period.",Unknown,Autosomal dominant ,"Infancy, Neonatal",2020-12-22 18:01:47,2021-02-25 17:43:35,,Milroy disease,Milroy disease,Hereditary lymphedema type I; Nonne-Milroy lymphedema,52,26,,,NULL
338,ORPHA:573,93,158000,,D056734,C0546966,Q84.1,,"A rare genodermatosis characterized by a hair shaft dysplasia resulting in hypotrichosis.The prevalence and incidence are not known.Monilethrix has an early onset in infancy. Alopecia, associated with follicular hyperkeratosis and perifollicular erythema, can involve only the occiput and the nape of the neck or, in severe forms, the entire scalp, the eyebrows and eyelashes, and secondary hair. Infants show a characteristic hair shaft dysplasia: dystrophic constrictions regularly separated by elliptical nodes of normal thickness, giving a beaded appearance of affected hair. The thin internodal region shows a high propensity to break. In some cases, nail dystrophy (koilonychia) on fingers and toes has been reported. This symptomatic triad (moniliform hair, follicular hyperkeratosis and nail dystrophy), when associated with other ectodermal defects, such as as neurological, dental, and ophthalmological alterations, constitute the ''moniliform hair syndrome''.Four genes have been associated with monilethrix: KRT81, KRT83 and KRT86, coding for the type II hair keratins Hb1, Hb3 and Hb6, and are responsible for the autosomal dominant form of the disease. An autosomal recessive form has also been described in a few families, caused by mutations in the DSG4 gene, coding for the desmoglein 4 protein, also involved in hypotrichosis simplex (see this term) that has clinical overlap with monilethrix.A trichogram shows the characteristic moniliform hairs. Trichoscopy is another approach to detect the characteristic hair shaft dysplasia of monilethrix. An electron microscopy-based diagnostic test is available.Differential diagnosis includes pseudomonilethrix that presents with diffuse alopecia or alopecia limited to the occipital area. However, using trichogram analysis, pseudomoniletrix hair does not present with dystrophic constrictions but with flattened irregular beading.In severe forms with alopecia and hyperkeratosis on the body, genetic counseling would be necessary.Treatment is disappointing. The best measure is to avoid the mechanical action of combing and brushing. Depilation only achieves repopulation with normal looking hair for a short while. Temporary improvement has been described with daily doses of 125 mg of griseofulvin, zinc-sulfate, X-ray depilation, and topical application of retinoid acid. There have also been improvements with the application of minoxidil and tretinoin, and with the administration of 0.5-1 mg/kg/day of etretinate.The course of the localized form of monilethrix can be favorable with a reduction of hypotrichosis with time. In general, hypotrichosis improves with age, although remissions have been noted during puberty or pregnancy.",Unknown,Autosomal dominant or Autosomal recessive ,"nfancy, Neonatal",2020-12-22 18:01:47,2021-02-25 17:43:38,,Monilethrix,Monilethrix,Moniliform hair syndrome,5,34,,,NULL
